surah,verse,word_position,madani1,madani2,makki,basari,dimashqi,kufi,himsi,surah_name,last_3_words
20,86,13,-1,1,-1,-1,-1,-1,-1,طه,رَبُّكُمۡ وَعۡدًا حَسَنًا
20,87,15,1,-1,1,1,1,1,1,طه,فَكَذَٰلِكَ أَلۡقَى ٱلسَّامِرِیُّ
20,88,11,1,-1,1,-1,-1,-1,-1,طه,إِلَٰهُكُمۡ وَإِلَٰهُ مُوسَىٰ
20,88,12,-1,1,-1,1,1,1,1,طه,وَإِلَٰهُ مُوسَىٰ فَنَسِیَ
20,89,6,-1,1,-1,-1,-1,-1,1,طه,یَرۡجِعُ إِلَیۡهِمۡ قَوۡلࣰا
20,92,7,-1,-1,-1,-1,-1,1,-1,طه,إِذۡ رَأَیۡتَهُمۡ ضَلُّوٓا۟
20,106,3,-1,-1,-1,1,1,1,1,طه,فَیَذَرُهَا قَاعࣰا صَفۡصَفࣰا
20,123,11,1,1,1,1,1,-1,-1,طه,یَأۡتِیَنَّكُم مِّنِّی هُدࣰى
20,124,8,-1,-1,-1,-1,-1,-1,1,طه,له معیشة ضنكا
20,131,12,1,1,1,1,1,-1,1,طه,زَهۡرَةَ ٱلۡحَیَوٰةِ ٱلدُّنۡیَا
21,66,11,-1,-1,-1,-1,-1,1,-1,الأنبياء,شَیۡـࣰٔا وَلَا یَضُرُّكُمۡ
22,19,17,-1,-1,-1,-1,-1,1,-1,الحج,فَوۡقِ رُءُوسِهِمُ ٱلۡحَمِیمُ
22,20,6,-1,-1,-1,-1,-1,1,-1,الحج,فِی بُطُونِهِمۡ وَٱلۡجُلُودُ
22,42,9,1,1,1,1,-1,1,-1,الحج,نُوحࣲ وَعَادࣱ وَثَمُودُ
22,43,4,1,1,1,-1,-1,1,-1,الحج,إِبۡرَٰهِیمَ وَقَوۡمُ لُوطࣲ
22,78,20,-1,-1,1,-1,-1,-1,-1,الحج,هُوَ سَمَّىٰكُمُ ٱلۡمُسۡلِمِینَ
23,45,5,1,1,1,1,1,-1,1,المؤمنون,مُوسَىٰ وَأَخَاهُ هَٰرُونَ
24,36,14,-1,-1,-1,1,1,1,1,النور,فِیهَا بِٱلۡغُدُوِّ وَٱلۡـَٔاصَالِ
24,43,38,-1,-1,-1,1,1,1,1,النور,بَرۡقِهِۦ یَذۡهَبُ بِٱلۡأَبۡصَٰرِ
24,44,10,1,1,1,1,1,1,-1,النور,لأولي الأبصر
26,1,1,-1,-1,-1,-1,-1,1,-1,الشعراء,طسٓمٓ
26,49,14,1,1,1,1,1,-1,1,الشعراء,ٱلسِّحۡرَ فَلَسَوۡفَ تَعۡلَمُونَ
26,92,6,1,1,1,-1,1,1,1,الشعراء,مَا كُنتُمۡ تَعۡبُدُونَ
26,210,4,1,-1,-1,1,1,1,1,الشعراء,تَنَزَّلَتۡ بِهِ ٱلشَّیَٰطِینُ
27,33,7,1,1,1,-1,-1,-1,-1,النمل,وَأُو۟لُوا۟ بَأۡسࣲ شَدِیدࣲ
27,44,17,1,1,1,1,1,-1,1,النمل,مُّمَرَّدࣱ مِّن قَوَارِیرَ
28,1,1,-1,-1,-1,-1,-1,1,-1,القصص,طسٓمٓ
28,23,10,1,1,1,1,1,-1,1,القصص,مِّنَ ٱلنَّاسِ یَسۡقُونَ
28,33,9,1,1,1,1,1,1,-1,القصص,فأخاف أن يقتلون
28,35,15,1,1,1,1,1,1,-1,القصص,ومن اتبعكما الغلبون
28,38,15,-1,-1,-1,-1,-1,-1,1,القصص,على الطين
29,1,1,-1,-1,-1,-1,-1,1,-1,العنكبوت,الٓمٓ
29,29,5,1,1,1,-1,-1,-1,1,العنكبوت,ٱلرِّجَالَ وَتَقۡطَعُونَ ٱلسَّبِیلَ
29,65,9,-1,-1,-1,1,1,-1,-1,العنكبوت,مُخۡلِصِینَ لَهُ ٱلدِّینَ
29,67,12,-1,-1,-1,-1,-1,-1,1,العنكبوت,أفباباطل يؤمنون
30,1,1,-1,-1,-1,-1,-1,1,-1,الروم,الٓمٓ
30,2,2,1,-1,-1,1,1,1,1,الروم,غُلِبَتِ ٱلرُّومُ
30,4,3,-1,1,1,1,1,-1,1,الروم,فِی بِضۡعِ سِنِینَ
30,55,5,1,-1,-1,-1,-1,-1,-1,الروم,ٱلسَّاعَةُ یُقۡسِمُ ٱلۡمُجۡرِمُونَ
31,1,1,-1,-1,-1,-1,-1,1,-1,لقمان,الٓمٓ
31,32,9,-1,-1,-1,1,1,-1,1,لقمان,مُخۡلِصِینَ لَهُ ٱلدِّینَ
32,1,1,-1,-1,-1,-1,-1,1,-1,السجدة,الٓمٓ
32,10,9,1,1,1,-1,1,-1,1,السجدة,لَفِی خَلۡقࣲ جَدِیدِۭ
34,15,10,-1,-1,-1,-1,1,-1,1,سبأ,عَن یَمِینࣲ وَشِمَالࣲ
35,7,5,-1,-1,-1,1,1,-1,1,فاطر,لَهُمۡ عَذَابࣱ شَدِیدࣱ
35,12,28,1,1,1,1,1,1,-1,فاطر,ولعلكم تشكرون
35,16,6,1,1,1,-1,1,1,-1,فاطر,وَیَأۡتِ بِخَلۡقࣲ جَدِیدࣲ
35,19,4,1,1,1,-1,1,1,1,فاطر,یَسۡتَوِی ٱلۡأَعۡمَىٰ وَٱلۡبَصِیرُ
35,20,4,1,1,1,-1,1,1,1,فاطر,ٱلظُّلُمَٰتُ وَلَا ٱلنُّورُ
35,22,16,1,1,1,1,-1,1,1,فاطر,مَّن فِی ٱلۡقُبُورِ
35,23,4,1,1,1,1,1,1,-1,فاطر,أنت إلا نذير
35,41,7,-1,-1,-1,1,-1,-1,-1,فاطر,وَٱلۡأَرۡضَ أَن تَزُولَا
35,43,21,-1,1,-1,1,1,-1,1,فاطر,لِسُنَّتِ ٱللَّهِ تَبۡدِیلࣰا
36,1,1,-1,-1,-1,-1,-1,1,-1,يس,یسٓ
37,22,7,1,1,1,-1,1,1,1,الصافات,وَمَا كَانُوا۟ یَعۡبُدُونَ
37,8,9,1,1,1,1,1,1,-1,الصافات,من كل جانب
37,9,1,-1,-1,-1,-1,-1,-1,1,الصافات,دحورا
38,1,4,-1,-1,-1,-1,-1,1,-1,ص,وَٱلۡقُرۡءَانِ ذِی ٱلذِّكۡرِ
38,37,4,1,1,1,-1,1,1,1,ص,كُلَّ بَنَّآءࣲ وَغَوَّاصࣲ
38,67,4,1,1,1,1,1,1,-1,ص,نبؤا عظيم
38,84,4,-1,-1,-1,-1,-1,1,1,ص,فَٱلۡحَقُّ وَٱلۡحَقَّ أَقُولُ
39,3,25,1,1,1,1,1,-1,1,الزمر,هُمۡ فِیهِ یَخۡتَلِفُونَ
39,11,9,-1,-1,-1,-1,1,1,-1,الزمر,مُخۡلِصࣰا لَّهُ ٱلدِّینَ
39,14,6,-1,-1,-1,-1,-1,1,-1,الزمر,مُخۡلِصࣰا لَّهُۥ دِینِی
39,17,12,-1,1,-1,1,1,1,1,الزمر,ٱلۡبُشۡرَىٰ فَبَشِّرۡ عِبَادِ
39,20,14,1,-1,1,-1,-1,-1,-1,الزمر,مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُ
39,36,15,-1,-1,-1,-1,-1,1,-1,الزمر,لَهُۥ مِنۡ هَادࣲ
39,39,9,-1,-1,-1,-1,-1,1,1,الزمر,عَٰمِلࣱ فَسَوۡفَ تَعۡلَمُونَ
40,1,1,-1,-1,-1,-1,-1,1,-1,غافر,حمٓ
40,15,16,1,1,1,1,-1,1,1,غافر,لِیُنذِرَ یَوۡمَ ٱلتَّلَاقِ
40,16,3,-1,-1,-1,-1,1,-1,-1,غافر,یَوۡمَ هُم بَٰرِزُونَ
40,18,8,1,1,1,1,1,-1,1,غافر,لَدَى ٱلۡحَنَاجِرِ كَٰظِمِینَ
40,53,8,1,-1,1,-1,1,1,1,غافر,بَنِیٓ إِسۡرَٰٓءِیلَ ٱلۡكِتَٰبَ
40,58,4,-1,1,-1,-1,1,-1,-1,غافر,یَسۡتَوِی ٱلۡأَعۡمَىٰ وَٱلۡبَصِیرُ
40,71,6,-1,1,-1,-1,1,1,1,غافر,أَعۡنَٰقِهِمۡ وَٱلسَّلَٰسِلُ یُسۡحَبُونَ
40,72,2,1,-1,1,-1,-1,-1,-1,غافر,فِی ٱلۡحَمِیمِ
40,73,7,-1,-1,-1,-1,-1,1,-1,غافر,مَا كُنتُمۡ تُشۡرِكُونَ
41,1,1,-1,-1,-1,-1,-1,1,-1,فصلت,حمٓ
41,13,9,1,1,1,-1,-1,1,-1,فصلت,صَٰعِقَةِ عَادࣲ وَثَمُودَ
42,1,1,-1,-1,-1,-1,-1,1,-1,الشورى,حمٓ
42,2,1,-1,-1,-1,-1,-1,1,1,الشورى,عٓسٓقٓ
42,32,6,-1,-1,-1,-1,-1,1,-1,الشورى,فِی ٱلۡبَحۡرِ كَٱلۡأَعۡلَٰمِ
43,1,1,-1,-1,-1,-1,-1,1,-1,الزخرف,حمٓ
43,52,8,1,1,1,1,-1,-1,-1,الزخرف,ٱلَّذِی هُوَ مَهِینࣱ
44,1,1,-1,-1,-1,-1,-1,1,-1,الدخان,حمٓ
44,34,3,-1,-1,-1,-1,-1,1,-1,الدخان,إِنَّ هَٰٓؤُلَآءِ لَیَقُولُونَ
44,43,3,1,-1,-1,1,1,1,-1,الدخان,إِنَّ شَجَرَتَ ٱلزَّقُّومِ
44,45,4,-1,1,1,1,-1,1,1,الدخان,یَغۡلِی فِی ٱلۡبُطُونِ
45,1,1,-1,-1,-1,-1,-1,1,-1,الجاثية,حمٓ
46,1,1,-1,-1,-1,-1,-1,1,-1,الأحقاف,حمٓ
